LEASE-REC-TYPE-REC,LEASE-REC-DIST,LEASE-REC-FIELD,LEASE-REC-OPR,LEASE-REC-LEASE,LEASE-REC-FILLER,LEASE-REC-OFFSHORE,L-NAME,LSE-CO,POGATH,PGGATH,OSPLIT,GSPLIT,OOGATH,OGGATH,OOPR,BO-STATUS,BG-STATUS,MOVE-BAL,PO-STATUS,PG-STATUS,SEC-REC,CERT,BATCH,L-LPB,COMMINGLE-CD,COMMINGLE,L-INFO,AD-BO-STATUS,AD-BG-STATUS,COMMINGLE-DATE,L-RMCD,L-RMDT,SEV-CD-13,SEV-CD-14,L-CAS-SI-LTR-DTE,L-RED-RTE-DTE,L-EXC-TST,L-RLTYCD,L-ONE-WELL-LEASE,L-PANHANDLE-GOR-EXC,L-PANHANDLE-GOR-AMT,FILLER5,L-MONTH-DATE,LM-SEV,LM-RETRO,LM-REC,LM-CHG,LM-ALLOW,LM-PROD,LM-FW,LM-OW,LM-PL,LM-PLC,LM-OTH,LM-OTHC,LM-STO,LM-GL,LM-GPROD,LM-GLIFT,LM-CSIL,LM-JOHN,LM-LTR-CODE,FILLER6,FILLER7,FILLER8
3,01,27135700,253162,20102,00,0,HOGAN D,177000,EOGRS,EOGRE,0,0,,,000000,0,0,82,0,0,0,00,,0,1,6206,,0,0,201911,0,000000,0,0,000000,000000,0,0,N,Y,-2.4,0000,202109,0,0,1,0,13140,5541,000,001,5524,0,4,8,116,11999880,16983,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20103,00,0,ARCTIC C,177000,EOGRS,EOGRE,0,0,,,000000,0,0,34,0,0,0,00,,0,1,6227,,0,0,202001,0,000000,0,0,000000,000000,0,0,N,Y,-1.1,0000,202109,0,0,1,0,10410,2028,000,001,2064,1,5,8,78,11999880,2159,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20109,00,0,FOUR K PARTNERS J,311000,EOGRS,WILMP,0,0,,,000000,0,0,64,0,0,0,00,,0,1,6246,,0,0,202002,0,000000,0,0,000000,000000,0,0,N,Y,-1.1,0000,202109,0,0,1,0,19410,8078,000,001,7998,1,19,8,132,11999880,8093,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20111,00,0,MARLIN B,283000,EOGRS,EOGRE,0,0,,,000000,0,0,60,0,0,0,00,,0,1,6228,,0,0,202002,0,000000,0,0,000000,000000,0,0,N,Y,-2.8,0000,202109,0,0,1,0,4440,2427,000,001,2417,0,4,8,71,11999880,8004,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20113,00,0,MARLIN A,283000,EOGRS,EOGRE,0,0,,,000000,0,0,60,0,0,0,00,,0,1,6228,,0,0,202002,0,000000,0,0,000000,000000,0,0,N,Y,-2.9,0000,202109,0,0,1,0,9630,2437,000,001,2425,0,7,8,71,11999880,8634,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20132,00,0,SKIPJACK A,283000,EOGRS,EOGRE,0,0,,,000000,0,0,152,0,0,0,00,,0,1,6333,,0,0,202010,0,000000,0,0,000000,000000,0,0,N,Y,-2.1,0000,202109,0,1,4,0,25950,6627,000,001,6547,0,98,7,107,11999880,17542,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20133,00,0,SKIPJACK B,283000,EOGRS,EOGRE,0,0,,,000000,0,0,101,0,0,0,00,,0,1,6333,,0,0,202010,0,000000,0,0,000000,000000,0,0,N,Y,-2.6,0000,202109,0,1,4,0,22860,5433,000,001,5365,0,71,7,88,11999880,12542,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20134,00,0,SKIPJACK C,283000,EOGRS,EOGRE,0,0,,,000000,0,0,138,0,0,0,00,,0,1,6333,,0,0,202010,0,000000,0,0,000000,000000,0,0,N,Y,-2.2,0000,202109,0,0,1,0,33630,8267,000,001,8126,0,109,7,134,11999880,8722,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20135,00,0,SKIPJACK D,283000,EOGRS,EOGRE,0,0,,,000000,0,0,174,0,0,0,00,,0,1,6333,,0,0,202010,0,000000,0,0,000000,000000,0,0,N,Y,-1.9,0000,202109,0,0,1,0,29400,5549,000,001,5493,0,64,7,90,11999880,3594,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20136,00,0,WILDEBEEST A,013000,EOGRS,EOGRE,0,0,,,000000,0,0,27,0,0,0,00,,0,1,6334,,0,0,202010,0,000000,0,0,000000,000000,0,0,N,Y,-1.3,0000,202109,0,0,1,0,36450,7591,000,001,7601,0,14,8,84,11999880,14911,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20137,00,0,WILDEBEEST B,013000,EOGRS,EOGRE,0,0,,,000000,0,0,18,0,0,0,00,,0,1,6334,,0,0,202010,0,000000,0,0,000000,000000,0,0,N,Y,-1.0,0000,202109,0,0,1,0,38970,5825,000,001,5833,0,10,8,64,11999880,10175,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20138,00,0,WILDEBEEST C,013000,EOGRS,EOGRE,0,0,,,000000,0,0,4,0,0,0,00,,0,1,6334,,0,0,202010,0,000000,0,0,000000,000000,0,0,N,Y,-1.3,0000,202109,0,0,1,0,41610,6420,000,001,6429,0,11,8,71,11999880,10879,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20139,00,0,WILDEBEEST D,013000,EOGRS,EOGRE,0,0,,,000000,0,0,9,0,0,0,00,,0,1,6334,,0,0,202010,0,000000,0,0,000000,000000,0,0,N,Y,-1.1,0000,202109,0,0,1,0,45900,7899,000,001,7910,0,11,8,87,11999880,10009,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20145,00,0,VALKYRIE A,311000,EOGRS,EOGRE,0,0,,,000000,0,0,17,0,0,0,00,,0,1,6229,,0,0,202002,0,000000,0,0,000000,000000,0,0,N,Y,-1.3,0000,202109,0,0,1,0,17970,9271,000,001,9240,0,25,8,36,11999880,14658,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20213,00,0,SAMOA C,177000,EOGRS,EOGRE,0,0,,,000000,0,0,47,0,0,0,00,,0,1,6245,,0,0,202006,0,000000,0,0,000000,000000,0,0,N,Y,-1.4,0000,202109,0,0,1,0,10200,3347,000,001,3343,0,4,8,48,11999880,4101,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20214,00,0,SAMOA D,177000,EOGRS,EOGRE,0,0,,,000000,0,0,59,0,0,0,00,,0,1,6245,,0,0,202006,0,000000,0,0,000000,000000,0,0,N,Y,-0.9,0000,202109,0,0,1,0,9570,4572,000,001,4556,0,14,8,66,11999880,2853,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20215,00,0,SAMOA E,177000,EOGRS,EOGRE,0,0,,,000000,0,0,96,0,0,0,00,,0,1,6245,,0,0,202006,0,000000,0,0,000000,000000,0,0,N,Y,-0.8,0000,202109,0,0,1,0,16800,2322,000,001,2321,0,7,8,34,11999880,1287,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20218,00,0,MANGROVE F,177000,EOGRS,EOGRE,0,0,,,000000,0,0,44,0,0,0,00,,0,1,6331,,0,0,202010,0,000000,0,0,000000,000000,0,0,N,Y,-2.4,0000,202109,0,0,1,0,21420,5749,000,001,5731,0,13,8,56,11999880,13092,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20220,00,0,SAMOA A,177000,EOGRS,EOGRE,0,0,,,000000,0,0,68,0,0,0,00,,0,1,6245,,0,0,202006,0,000000,0,0,000000,000000,0,0,N,Y,-1.3,0000,202109,0,0,1,0,11520,3577,000,001,3574,0,3,8,52,11999880,3517,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20223,00,0,MANGROVE G,177000,EOGRS,EOGRE,0,0,,,000000,0,0,47,0,0,0,00,,0,1,6331,,0,0,202010,0,000000,0,0,000000,000000,0,0,N,Y,-2.2,0000,202109,0,0,1,0,21450,5074,000,001,5062,0,8,8,49,11999880,10928,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20229,00,0,MANGROVE H,177000,EOGRS,EOGRE,0,0,,,000000,0,0,41,0,0,0,00,,0,1,6331,,0,0,202010,0,000000,0,0,000000,000000,0,0,N,Y,-2.1,0000,202109,0,0,1,0,18540,4851,000,001,4837,0,12,8,47,11999880,10135,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20230,00,0,MANGROVE J,177000,EOGRS,EOGRE,0,0,,,000000,0,0,56,0,0,0,00,,0,1,6331,,0,0,202010,0,000000,0,0,000000,000000,0,0,N,Y,-2.6,0000,202109,0,0,1,0,20760,6393,000,001,6370,0,19,8,62,11999880,16299,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20238,00,0,ALBACORE A,283000,EOGRS,EOGRE,0,0,,,000000,0,0,35,0,0,0,00,,0,1,6129,,0,0,202012,0,000000,0,0,000000,000000,0,0,N,Y,-2.2,0000,202109,0,1,4,0,4320,2877,001,000,2897,0,7,8,28,11999880,4030,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20239,00,0,ALBACORE B,283000,EOGRS,EOGRE,0,0,,,000000,0,0,54,0,0,0,00,,0,1,6129,,0,0,202012,0,000000,0,0,000000,000000,0,0,N,Y,-2.4,0000,202109,0,1,4,0,7110,7101,001,000,7090,0,27,8,70,11999880,11555,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20240,00,0,ALBACORE C,283000,EOGRS,EOGRE,0,0,,,000000,0,0,60,0,0,0,00,,0,1,6129,,0,0,202012,0,000000,0,0,000000,000000,0,0,N,Y,-2.0,0000,202109,0,1,4,0,9060,7467,001,000,7458,0,19,8,74,11999880,7660,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20242,00,0,ALBACORE D,283000,EOGRS,EOGRE,0,0,,,000000,0,0,62,0,0,9,00,,0,1,6129,,0,0,202012,0,000000,0,0,000000,000000,0,0,N,Y,-2.0,0000,202109,0,1,4,0,9690,7745,001,000,7740,0,29,8,76,11999880,10389,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20243,00,0,ALBACORE E,283000,EOGRS,EOGRE,0,0,,,000000,0,0,46,0,0,0,00,,0,1,6129,,0,0,202012,0,000000,0,0,000000,000000,0,0,N,Y,-2.0,0000,202109,0,1,4,0,6780,4340,001,000,4368,0,9,8,43,11999880,6022,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20245,00,0,SAMOA B,177000,EOGRS,EOGRE,0,0,,,000000,0,0,45,0,0,0,00,,0,1,6245,,0,0,202006,0,000000,0,0,000000,000000,0,0,N,Y,-1.4,0000,202109,0,0,1,0,9270,3264,000,001,3260,0,6,8,47,11999880,4396,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20247,00,0,BIGEYE A,283000,EOGRS,EOGRE,0,0,,,000000,0,0,77,0,0,0,00,,0,1,6413,,0,0,202012,0,000000,0,0,000000,000000,0,0,N,Y,-1.7,0000,202109,0,1,4,0,6540,4286,001,000,4257,0,9,8,151,11999880,7342,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20248,00,0,BIGEYE B,283000,EOGRS,EOGRE,0,0,,,000000,0,0,71,0,0,0,00,,0,1,6413,,0,0,202012,0,000000,0,0,000000,000000,0,0,N,Y,-2.1,0000,202109,0,1,4,0,6720,3944,001,000,3920,0,13,8,138,11999880,7392,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20252,00,0,CASPIAN C,177000,EOGRS,EOGRE,0,0,,,000000,0,0,0,0,0,0,00,,0,1,6104,,0,0,201811,0,000000,0,0,000000,000000,0,0,N,Y,-2.7,0000,202109,0,1,4,0,30480,3450,000,001,3384,0,15,8,124,11999880,10200,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20253,00,0,NINJA B,283000,EOGRS,EOGRE,0,0,,,000000,0,0,199,0,0,0,00,,0,1,6341,,0,0,202011,0,000000,0,0,000000,000000,0,0,N,Y,-2.2,0000,202109,0,1,4,0,7740,5293,001,000,5224,0,12,8,228,11999880,13240,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20254,00,0,NINJA A,283000,EOGRS,EOGRE,0,0,,,000000,0,0,143,0,0,0,00,,0,1,6341,,0,0,202011,0,000000,0,0,000000,000000,0,0,N,Y,-1.5,0000,202109,0,1,4,0,5670,3902,000,001,3847,0,11,8,168,11999880,6056,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20255,00,0,ATLANTIC C,177000,EOGRS,EOGRE,0,0,,,000000,0,0,0,0,0,0,00,,0,1,6104,,0,0,201811,0,000000,0,0,000000,000000,0,0,N,Y,-2.1,0000,202109,0,1,4,0,43980,7400,000,001,7376,0,10,8,267,11999880,13581,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20260,00,0,MACKEREL A,283000,EOGRS,EOGRE,0,0,,,000000,0,0,95,0,0,0,00,,0,1,6413,,0,0,202012,0,000000,0,0,000000,000000,0,0,N,Y,-1.1,0000,202109,0,1,4,0,6690,4747,001,000,4696,0,17,8,167,11999880,4711,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20263,00,0,MACKEREL B,283000,EOGRS,EOGRE,0,0,,,000000,0,0,94,0,0,0,00,,0,1,6413,,0,0,202012,0,000000,0,0,000000,000000,0,0,N,Y,-1.4,0000,202109,0,1,4,0,9480,5035,001,000,5021,0,12,8,177,11999880,5921,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20264,00,0,MACKEREL C,283000,EOGRS,EOGRE,0,0,,,000000,0,0,95,0,0,0,00,,0,1,6413,,0,0,202012,0,000000,0,0,000000,000000,0,0,N,Y,-1.4,0000,202109,0,1,4,0,8460,4817,001,000,4802,0,13,8,169,11999880,5328,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20265,00,0,NINJA C,283000,EOGRS,EOGRE,0,0,,,000000,0,0,213,0,0,0,00,,0,1,6341,,0,0,202011,0,000000,0,0,000000,000000,0,0,N,Y,-1.6,0000,202109,0,1,4,0,9090,6335,001,000,6250,0,13,8,273,11999880,10788,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20270,00,0,HAT CREEK A,311000,EOGRS,EOGRE,0,0,,,000000,0,0,39,0,0,0,00,,0,1,6229,,0,0,202102,0,000000,0,0,000000,000000,0,0,N,Y,-0.8,0000,202109,0,0,1,0,16950,10557,001,000,10532,0,17,8,41,11999880,7339,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20271,00,0,HAT CREEK B,311000,EOGRS,EOGRE,0,0,,,000000,0,0,34,0,0,0,00,,0,1,6229,,0,0,202102,0,000000,0,0,000000,000000,0,0,N,Y,-0.8,0000,202109,0,0,1,0,52080,11855,001,000,11831,0,16,8,46,11999880,8421,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20272,00,0,HAT CREEK C,311000,EOGRS,EOGRE,0,0,,,000000,0,0,27,0,0,0,00,,0,1,6229,,0,0,202102,0,000000,0,0,000000,000000,0,0,N,Y,-0.8,0000,202109,0,0,1,0,37410,8930,001,000,8907,0,17,8,34,11999880,7895,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20273,00,0,HAT CREEK D,311000,EOGRS,EOGRE,0,0,,,000000,0,0,37,0,0,0,00,,0,1,6229,,0,0,202102,0,000000,0,0,000000,000000,0,0,N,Y,-0.6,0000,202109,0,0,1,0,40230,11311,000,001,11296,0,7,8,44,11999880,7537,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20275,00,0,NAYLOR JONES 46 A,311000,EOGRS,EOGRE,0,0,,,000000,0,0,179,0,0,0,00,,0,0,0000,,0,0,000000,0,000000,0,0,000000,000000,0,0,Y,Y,-2.0,0000,202109,0,0,1,0,34380,5062,000,001,5012,0,12,8,196,11999880,10300,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20276,00,0,NAYLOR JONES 46 B,311000,EOGRS,EOGRE,0,0,,,000000,0,0,109,0,0,0,00,,0,0,0000,,0,0,000000,0,000000,0,0,000000,000000,0,0,Y,Y,-2.5,0000,202109,0,0,1,0,41970,2580,000,001,2555,0,9,8,100,11999880,5022,0,0,0,0,0000000000000,0000000000000,0000
